task_name,method,rows,unique_samples,avg_original_tokens,avg_compressed_tokens,avg_prompt_tokens,avg_token_saving_ratio,avg_compression_time,avg_answer_time,contains_answer_rate,avg_f1,empty_prediction_count,fallback_used_count,retry_used_count,error_count
2wikimqa,bm25,50,50,7024.16,1979.18,2025.0,0.6375917489879622,0.015618176460266,3.572260193824768,0.68,0.65705291005291,0,0,3,0
2wikimqa,llmlingua,50,50,7024.16,1882.4,1929.04,0.6550235075788648,1.9544675207138065,5.345091528892517,0.7,0.5993374741200828,0,0,10,0
2wikimqa,longllmlingua,50,50,7024.16,1882.4,1929.04,0.6550235075788648,1.9692376136779783,7.438834185600281,0.7,0.6267773109243697,0,0,13,0
2wikimqa,original,50,50,7024.16,7024.16,7070.24,0.0,0.0,2.407810311317444,0.76,0.7108333333333333,0,0,1,0
2wikimqa,truncate,50,50,7024.16,1969.34,2015.82,0.6395384649480487,0.005638813972473,3.201349120140076,0.36,0.2697694006476615,0,0,1,0
hotpotqa,bm25,50,50,13294.76,2007.52,2057.44,0.8185257936499585,0.0183312559127807,3.645079855918884,0.5,0.6093860877684407,0,0,5,0
hotpotqa,llmlingua,50,50,13294.76,1955.2,2005.98,0.823271101384956,4.004766321182251,6.928894634246826,0.3,0.3683612836438923,0,0,15,0
hotpotqa,longllmlingua,50,50,13294.76,1955.2,2005.98,0.823271101384956,3.905265517234802,7.50296073436737,0.36,0.4556852553298803,0,0,21,0
hotpotqa,original,50,50,13294.76,13294.76,13345.22,0.0,1.9969940185546e-05,3.6405403852462768,0.56,0.6736645021645021,0,0,3,0
hotpotqa,truncate,50,50,13294.76,2000.0,2050.58,0.8194281836103354,0.0072128391265868,2.512894158363342,0.18,0.1958055786612793,0,0,1,0
multifieldqa_en,bm25,50,50,7068.86,1994.64,2037.1,0.6248236436367499,0.0160686111450194,2.1704682445526124,0.22,0.525982328151578,0,0,2,0
multifieldqa_en,llmlingua,50,50,7068.86,1996.86,2040.04,0.6191229233080106,2.141936583518982,4.150786585807801,0.22,0.454536719209857,0,0,3,0
multifieldqa_en,longllmlingua,50,50,7068.86,1996.86,2040.04,0.6191229233080106,2.112936911582947,4.75943603515625,0.2,0.4258601433156337,0,0,7,0
multifieldqa_en,original,50,50,7068.86,7068.86,7111.26,0.0,0.0,2.207961149215698,0.32,0.5779718969040247,0,0,2,0
multifieldqa_en,truncate,50,50,7068.86,1986.34,2029.34,0.6264594075491927,0.0050731992721557,2.368319444656372,0.28,0.5011932279892163,0,0,1,0
